text,intent
Rate of kodo millet in the market,market
Mandi rate of muskmelon,market
How expensive is cherry today?,market
Market price of jackfruit,market
Mandi price of mustard seed,market
What is the rate of plum?,market
Price of mustard seed in assam,market
Price of sunflower in sikkim,market
Mandi price of onion,market
What is the cost of radish today?,market
Current price of pineapple,market
Mandi rate of field pea,market
What is the rate of tea?,market
What is the rate of nutmeg?,market
Today's price of pumpkin,market
What is the cost of eggplant today?,market
How expensive is rubber today?,market
Rate of kiwi in the market,market
Market price of capsicum,market
Today's price of mustard,market
How much is eggplant selling for?,market
What is the cost of wheat today?,market
Today's price of strawberry,market
Current price of chilli,market
Mandi rate of lychee,market
What is the cost of groundnut today?,market
Price of carrot in tripura,market
Rate of pomegranate in the market,market
Rate of jute in the market,market
How expensive is black pepper today?,market
Rate of coconut in the market,market
How expensive is pear today?,market
Today's price of muskmelon,market
How much is grapes selling for?,market
How much is turnip selling for?,market
How much is green gram selling for?,market
Latest price of clove,market
How expensive is snake gourd today?,market
Latest price of pineapple,market
Latest price of apricot,market
How much is watermelon selling for?,market
What is the price of cowpea?,market
Price of mustard in maharashtra,market
Mandi price of sunflower,market
Mandi rate of capsicum,market
How much is kodo millet selling for?,market
Rate of tea in the market,market
Price of corn in gujarat,market
Market price of lychee,market
Today's price of kodo millet,market
What is the rate of ragi?,market
What is the cost of ash gourd today?,market
Mandi price of ridge gourd,market
What is the price of groundnut?,market
Price of turmeric in jharkhand,market
Rate of cherry in the market,market
What is the cost of guava today?,market
Latest price of mustard seed,market
Today's price of moth bean,market
Mandi price of little millet,market
How expensive is rubber today?,market
Mandi price of sunflower,market
How expensive is black pepper today?,market
How expensive is rubber today?,market
Rate of cauliflower in the market,market
Current price of chilli,market
What is the rate of eggplant?,market
What is the rate of tea?,market
What is the price of snake gourd?,market
Current price of fennel,market
How expensive is chickpea today?,market
Current price of rice,market
What is the rate of quinoa?,market
What is the rate of rice?,market
How much is kodo millet selling for?,market
Mandi rate of coriander,market
Market price of pearl millet,market
Current price of grapes,market
What is the rate of eggplant?,market
How much is arecanut selling for?,market
Mandi rate of cauliflower,market
Market price of eggplant,market
What is the rate of arecanut?,market
How expensive is green gram today?,market
Price of pear in uttarakhand,market
Latest price of tomato,market
What is the rate of sunflower?,market
Latest price of mustard seed,market
What is the rate of cumin?,market
How much is pearl millet selling for?,market
How much is garlic selling for?,market
How expensive is pear today?,market
How expensive is radish today?,market
What is the rate of chilli?,market
Current price of pomegranate,market
Mandi price of green gram,market
Market price of tomato,market
What is the price of strawberry?,market
How expensive is peach today?,market
Current price of lychee,market
What is the cost of cherry today?,market
Mandi price of strawberry,market
Rate of okra in the market,market
What is the rate of black gram?,market
What is the cost of castor today?,market
What is the rate of papaya?,market
What is the cost of barnyard millet today?,market
What is the price of green gram?,market
What is the price of barnyard millet?,market
Mandi price of brinjal,market
What is the rate of field pea?,market
Price of rice in telangana,market
Current price of cardamom,market
Market price of coconut,market
What is the price of barley?,market
Price of castor in meghalaya,market
How expensive is proso millet today?,market
Current price of pepper,market
Price of coriander in uttar pradesh,market
Market price of clove,market
What is the cost of ash gourd today?,market
Mandi price of onion,market
What is the cost of jackfruit today?,market
What is the price of black pepper?,market
Rate of lentils in the market,market
How expensive is papaya today?,market
Mandi rate of rice,market
How expensive is kiwi today?,market
What is the price of ragi?,market
Latest price of guava,market
Today's price of buckwheat,market
Latest price of cardamom,market
Mandi price of pear,market
What is the cost of black gram today?,market
Rate of kodo millet in the market,market
Market price of moth bean,market
What is the rate of bottle gourd?,market
What is the price of soybean?,market
Mandi price of sunflower,market
Latest price of chilli,market
Latest price of rajma,market
Mandi price of muskmelon,market
Market price of garlic,market
Market price of bottle gourd,market
What is the price of mango?,market
Mandi price of cowpea,market
Market price of clove,market
What is the rate of peach?,market
Latest price of pumpkin,market
What is the rate of foxtail millet?,market
Current price of strawberry,market
How expensive is coffee today?,market
Market price of strawberry,market
Latest price of sorghum,market
Market price of coconut,market
How expensive is snake gourd today?,market
What is the rate of spinach?,market
Market price of pineapple,market
How much is cardamom selling for?,market
What is the price of apple?,market
What is the price of fenugreek?,market
Price of lemon in jharkhand,market
Mandi rate of cocoa,market
Rate of rajma in the market,market
How much is coconut selling for?,market
What is the rate of pigeon pea?,market
How much is jute selling for?,market
What is the price of coriander?,market
Today's price of fennel,market
Mandi price of maize,market
Current price of tea,market
Rate of tomato in the market,market
Mandi rate of fennel,market
Rate of peach in the market,market
Price of cabbage in nagaland,market
What is the cost of tea today?,market
What is the price of rice?,market
Today's price of mustard seed,market
How expensive is maize today?,market
Rate of mustard in the market,market
How expensive is cardamom today?,market
What is the cost of castor today?,market
How expensive is ginger today?,market
Market price of barley,market
What is the rate of carrot?,market
Current price of lychee,market
Rate of brinjal in the market,market
Price of sweet potato in madhya pradesh,market
How expensive is maize today?,market
Current price of banana,market
What is the rate of cucumber?,market
What is the rate of lentils?,market
How expensive is beetroot today?,market
Market price of cinnamon,market
